"","BelstromD_2017","RiveraV_2025","TongY_2019","WangB_2020","LindheimL_2016","WolfA_2017","KumpitschC_2020","NagataN_2022","RussoE_2018","TakahashiY_2019","JulianM_2017","YuF_2020","LundmarkA_2019","ZhuC_2018","LiuY_2019","TianN_2017","RafiqulI_2022","ZellerG_2014B","JiangQ_2019","ZhengX_2017","ZiganshinaE_2020","WangK_2016","LeeW_2017","MoskovitzM_2021","LeeY_2025","ArmstrongA_2023b","MakinenA_2023","BelstromD_2021","HuangC_2022","WangX_2020","AbdelbaryM_2022","LinM_2020","WangQ_2019","ArmstrongA_2023a","WangT_2018","DebeliusJ_2020","GuptaA_2022","FanX_2018b"
"Campylobacter_showae",-1,-1,3,3,-1,1,3,1,2,1,-1,1,-1,-1,3,1,3,-3,1,3,-3,-1,1,-1,1,1,-1,-1,-1,1,3,2,-2,-3,-1,3,NA,1
"Tannerella_forsythia",-3,-1,-1,2,-1,-1,3,1,1,1,1,3,-1,1,-3,1,3,-2,1,1,-1,1,-3,-1,-3,-1,-1,-2,1,-1,3,1,-3,1,1,3,NA,1
"Kingella_potus",NA,NA,-1,2,1,1,2,NA,3,-1,1,-1,-1,1,-1,NA,3,NA,-3,-1,1,1,3,-1,-1,NA,1,NA,-1,-1,1,-1,1,1,-1,3,NA,-1
"Capnocytophaga_granulosa",-1,-2,1,1,-1,1,3,-1,1,-1,-1,-3,-1,1,1,1,-1,-2,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-3,1,-1,1,-1,1,3,NA,1
"Neisseria_oralis",NA,-1,2,1,-1,2,3,NA,3,-1,-1,3,-1,1,-2,-1,-3,NA,-1,1,-2,1,-1,-1,1,NA,3,NA,3,1,3,-1,1,-3,1,-3,NA,2
"Lactobacillus_ruminis",NA,-1,-2,1,NA,-1,-1,NA,-1,1,2,NA,-1,-1,NA,NA,3,NA,-1,NA,NA,NA,1,NA,-1,NA,-1,NA,NA,NA,-1,-1,NA,NA,NA,-3,NA,1
"Helicobacter_pylori",NA,NA,1,NA,-1,-1,1,-3,-1,-3,2,NA,3,-1,NA,NA,NA,NA,-1,NA,NA,-1,-3,-1,-1,NA,1,NA,NA,3,NA,-1,NA,NA,1,1,NA,NA
"Soonwooa_buanensis",NA,NA,-1,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,NA,3,NA,-1,NA,2,NA,1,NA,-1,NA,NA,NA,1,-1,1,-1,-1,NA,1,3,NA,1
"Leptotrichia_hongkongensis",NA,1,-3,1,-1,1,3,NA,-1,-2,-1,3,-2,-1,-3,-1,-1,NA,1,-1,-1,-1,-1,-1,1,NA,3,NA,-1,-1,1,-1,2,-1,1,-1,NA,1
"Gemella_haemolysans",3,-1,1,-1,-1,1,2,1,-1,1,-1,1,-2,-1,1,1,3,-1,-1,3,1,-1,-1,-1,1,-1,-1,1,1,-3,3,2,1,-3,-2,-3,NA,-1
"Gemella_palaticanis",NA,-1,-1,1,NA,-1,-1,NA,-1,-1,3,NA,-1,-1,-2,-1,-1,NA,1,NA,-1,1,-1,NA,-1,NA,1,NA,1,1,1,-1,-1,2,-1,-3,NA,1
"Bacillus_cereus",NA,2,1,NA,-1,NA,-1,NA,-1,1,-3,1,-1,1,-1,-1,1,NA,1,3,NA,1,-1,NA,1,NA,-1,NA,NA,3,NA,-3,NA,-1,3,-1,NA,-1
"Slackia_exigua",-1,3,-1,-1,3,-1,-1,-3,1,3,1,1,1,2,-3,-2,2,1,-2,-1,-1,1,-3,1,-3,-1,-1,1,1,-1,-1,-1,1,1,3,-3,NA,-1
"Actinomyces_viscosus",-3,1,1,1,-1,-1,-1,-2,-1,-1,1,NA,1,1,-3,-1,2,-3,-1,1,1,-1,-1,-1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,NA,-1
"Streptococcus_oralis",3,-1,-1,-1,1,-1,3,-3,-2,-1,1,-1,-1,1,1,-1,-1,3,-1,-1,1,-1,-1,1,1,-1,1,-1,-3,-1,1,3,-1,-1,1,-3,NA,1
"Desulfovibrio_fairfieldensis",NA,-1,-3,1,NA,-3,-1,NA,-1,1,3,3,-1,NA,-3,-1,-1,NA,1,NA,1,-3,-1,NA,-3,NA,-1,NA,1,-1,1,-1,1,3,3,3,NA,1
"Prevotella_multisaccharivorax",NA,1,-3,1,1,-3,-1,-1,-1,1,3,2,-1,NA,-3,-1,3,1,-3,NA,-1,-1,-1,NA,-2,-1,1,NA,-1,-1,-1,-3,1,-1,-1,-1,NA,1
"Streptococcus_sinensis",-1,1,-1,1,-1,1,3,1,-1,1,-1,NA,-1,1,1,1,1,-1,-1,1,-1,-1,1,NA,-1,1,NA,NA,-1,-1,1,-1,-1,-1,3,3,NA,1
"Gemella_cuniculi",NA,NA,-1,-2,NA,1,3,NA,-1,-1,2,NA,-1,-1,-3,NA,NA,NA,-1,NA,-1,3,-1,NA,1,NA,1,NA,1,-1,1,-1,1,NA,-1,-2,NA,NA
"Desulfobulbus_propionicus",NA,-1,NA,1,-1,-1,1,NA,1,-1,3,NA,-1,-1,1,NA,NA,NA,-1,-1,NA,-3,-1,NA,-3,NA,-1,NA,1,-1,-1,1,-1,1,-1,3,NA,-1
"Cardiobacterium_valvarum",NA,1,1,-1,-1,-1,-2,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,3,-1,-1,1,-1,1,-1,1,3,-1,-1,1,3,3,NA,-1
"Corynebacterium_tuberculostearicum",NA,NA,1,1,-1,NA,-1,NA,1,-1,NA,NA,-1,NA,NA,1,-1,NA,NA,NA,NA,NA,-1,NA,2,NA,NA,NA,-1,-1,NA,-1,NA,1,-1,-1,NA,-3
"Prevotella_pleuritidis",-1,3,-1,1,1,-2,-1,-1,-1,3,-1,3,1,2,-3,-1,3,-1,-1,1,-1,1,-1,1,-1,1,1,-1,3,-1,1,-1,1,3,1,-3,NA,1
"Corynebacterium_argentoratense",1,-1,-1,NA,NA,-1,NA,-1,-1,1,NA,NA,1,NA,1,-1,-1,NA,1,NA,1,-1,NA,NA,1,-1,1,1,-1,3,NA,1,1,NA,1,-3,NA,-3
"Howardella_ureilytica",NA,2,-1,-1,1,-3,-2,NA,-1,1,-1,-1,1,-1,-3,-1,1,NA,-3,NA,1,-2,-3,-1,-1,NA,-3,NA,3,1,-1,-3,1,-1,-3,3,NA,1
"Snodgrassella_alvi",NA,-1,2,-3,-2,3,2,NA,3,1,-1,-1,1,-1,-1,1,3,NA,-1,NA,-1,-1,-1,NA,1,NA,1,NA,1,-1,NA,-1,NA,-1,3,-3,NA,NA
"Clostridium_hathewayi",NA,1,-1,1,NA,NA,-2,NA,-1,1,NA,-3,1,1,-1,NA,3,NA,-1,NA,NA,NA,-3,NA,-1,NA,NA,NA,1,1,1,3,NA,1,1,-1,NA,1
"Propionibacterium_acidifaciens",-1,NA,1,1,1,1,3,-3,-1,1,3,NA,1,1,NA,NA,2,1,1,-1,1,NA,-1,NA,-3,1,1,1,-1,NA,-1,-1,-3,NA,2,-1,NA,-1
"Gardnerella_vaginalis",NA,-3,1,-1,NA,-3,-2,-3,-1,1,1,-1,-1,NA,1,1,-1,3,NA,NA,-1,NA,-1,3,-1,1,1,-1,1,-1,1,NA,1,1,1,-1,NA,-1
"Parascardovia_denticolens",-1,1,-3,-1,NA,-1,-1,-1,-1,-1,1,3,1,-1,-1,2,-1,3,-3,NA,-1,-1,1,-1,-3,1,1,1,-1,-1,1,-1,1,1,-1,-2,NA,-1
"Prevotella_falsenii",NA,NA,-1,NA,-1,NA,-1,NA,NA,1,NA,NA,3,NA,NA,NA,1,NA,1,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,1,NA,1,1,-1,-1,-1,NA,NA
"Streptobacillus_moniliformis",NA,-1,-1,-1,2,-1,1,NA,-1,3,-1,2,-1,-1,1,1,3,NA,1,1,1,1,-1,-1,-1,NA,1,NA,1,-1,-1,-1,1,1,-1,3,NA,-1
"Gemella_bergeri",-1,-1,NA,NA,NA,NA,NA,-1,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,-1,NA,-1,1,-1,NA,NA,NA,-1,NA,NA,1,NA,-1,NA,1
"Selenomonas_ruminantium",NA,-1,-1,-1,1,-1,1,NA,-1,2,3,2,-1,-1,-1,1,NA,NA,-3,NA,-1,-1,-1,NA,-1,NA,1,NA,-1,1,1,-1,1,-1,-1,3,NA,-1
"Eubacterium_sulci",3,-1,-1,-3,1,2,3,-3,1,1,2,1,3,-1,-1,1,3,3,1,-2,1,-1,3,1,-1,1,2,3,-2,-1,-1,-1,1,-1,-3,3,NA,-1
"Veillonella_ratti",NA,NA,NA,NA,1,-1,-1,NA,NA,1,-1,-1,-1,-1,NA,NA,-1,NA,1,3,NA,NA,-1,NA,-1,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,-1
"Desulfobulbus_rhabdoformis",NA,NA,-2,1,NA,1,2,NA,1,-1,NA,NA,-1,NA,1,1,2,NA,3,NA,-1,-1,1,NA,-3,NA,NA,NA,3,-1,-1,1,-1,-1,-1,3,NA,-1
"Lactobacillus_mucosae",NA,NA,-3,-1,-1,-1,NA,1,NA,1,3,1,NA,NA,-1,NA,2,NA,-3,NA,NA,-1,-1,NA,1,NA,1,NA,-1,1,1,-1,-1,NA,-2,-1,NA,1
"Streptococcus_parasanguinis",1,1,-3,-2,-1,-1,-2,1,-1,-3,-1,1,-1,1,3,-1,-1,-1,-1,-1,-1,-3,3,1,-1,1,1,-2,-1,1,-1,-1,1,-1,-1,-2,NA,1
"Eubacterium_ramulus",NA,1,2,1,1,NA,1,NA,1,3,NA,-3,1,NA,NA,NA,3,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,NA,3,1,-1,NA,-1,-1,1,NA,NA
"Ralstonia_solanacearum",NA,NA,3,1,NA,1,-1,NA,1,-1,-1,3,-3,-1,1,NA,1,NA,1,NA,1,-1,-2,-1,NA,NA,1,NA,1,1,NA,-1,NA,NA,3,-1,NA,NA
"Prevotella_oralis",NA,1,-3,1,-1,-1,-1,1,1,1,1,3,-1,1,-2,-2,3,-1,-1,1,1,-1,-3,-1,-3,-1,1,1,1,-1,-1,1,1,-1,1,-3,NA,1
"Actinomyces_graevenitzii",-1,1,-2,-1,-1,-1,3,1,-1,-1,1,-1,3,-1,1,-1,1,-2,1,1,-1,1,3,1,-1,2,3,-1,-1,-1,1,-1,-1,1,1,-1,NA,-1
"Alloprevotella_rava",1,2,-1,3,3,-1,-3,-1,1,1,1,-2,1,-1,1,1,3,-1,-1,-1,-1,-1,3,3,-1,1,1,1,-3,3,1,-1,-1,1,-1,2,NA,-1
"Paraprevotella_clara",NA,3,1,1,-2,-1,-1,NA,2,-1,-1,-3,-1,1,NA,NA,2,NA,3,NA,1,1,1,NA,-1,NA,-2,NA,1,1,1,-1,-1,1,-1,-1,NA,NA
"Actinobacillus_porcinus",NA,1,1,-1,-1,-1,-3,NA,1,1,-1,1,1,-3,-1,1,3,NA,1,1,1,-1,-3,NA,1,NA,-1,NA,-1,3,1,-1,1,-3,-1,2,NA,-1
"Pseudomonas_aeruginosa",NA,NA,-2,NA,-1,NA,-1,NA,NA,-2,-1,-1,1,1,-3,NA,1,NA,1,NA,NA,1,-3,NA,-1,NA,NA,NA,-1,NA,1,-1,NA,2,-1,3,NA,-2
"Atopobium_parvulum",-1,1,-3,-1,1,-1,2,-2,-1,1,-1,2,1,1,-1,1,-1,-1,-3,1,-1,-1,3,1,1,1,-1,-1,-3,-1,-1,-1,-2,-1,3,3,NA,-1
"Stenotrophomonas_maltophilia",NA,NA,-1,1,1,-1,-1,NA,NA,-1,NA,-1,-2,1,1,3,-1,NA,-1,-1,NA,-2,-1,1,-1,NA,1,NA,-1,1,NA,-1,1,-1,-1,-1,NA,2
"Anaerovorax_odorimutans",NA,NA,1,-1,1,NA,-1,NA,1,-2,-1,1,1,-1,1,NA,1,NA,1,-1,NA,1,3,NA,-1,NA,1,NA,-1,1,1,2,1,-1,1,3,NA,-1
"Megamonas_funiformis",NA,1,1,1,NA,NA,-1,NA,1,3,NA,-1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,-1,NA,NA,-1,NA,NA,-2,NA,NA,NA
"Pasteurella_pneumotropica",NA,-1,-1,2,-1,1,1,NA,1,1,-1,-1,-1,-1,-1,NA,1,NA,-1,NA,-1,1,1,1,-2,NA,1,NA,1,-2,-1,1,2,1,1,3,NA,1
"Treponema_amylovorum",NA,1,-1,1,-1,-1,-1,NA,3,1,1,-1,1,-1,-1,1,3,NA,1,1,2,-1,-3,1,-3,NA,1,NA,3,-1,1,1,1,1,-1,3,NA,1
"Prevotella_nanceiensis",NA,-3,3,1,-1,2,2,NA,2,-3,-1,-1,1,-1,-1,1,1,NA,1,-1,1,-1,-1,1,1,NA,3,NA,2,2,1,-1,-1,2,-3,-1,NA,-1
"Wolinella_succinogenes",NA,NA,-1,-1,-1,-1,1,NA,1,1,1,3,-1,1,1,NA,NA,NA,1,1,-1,1,1,NA,-1,NA,NA,NA,1,-1,-1,1,1,-1,1,3,NA,-1
"Lactobacillus_frumenti",NA,NA,1,NA,1,-1,-1,-3,1,-1,NA,NA,1,NA,NA,NA,-1,NA,-1,NA,NA,NA,NA,NA,-1,NA,-1,NA,-1,1,NA,NA,-1,NA,NA,1,NA,1
"Shuttleworthia_satelles",NA,1,-1,-1,-1,-1,3,-1,3,2,2,3,1,-1,-1,-1,3,1,-3,-1,1,-1,-1,-1,-3,-1,-1,1,1,-1,-1,2,-3,-1,1,3,NA,-1
"Treponema_lecithinolyticum",-1,2,3,1,1,-2,1,1,1,1,3,-1,-1,-1,-3,3,3,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,3,-1,-1,1,1,2,-1,3,NA,1
"Neisseria_macacae",1,NA,-1,NA,2,NA,NA,1,1,-1,NA,NA,-1,-1,-1,-1,1,1,1,NA,1,NA,NA,NA,-1,-1,NA,-1,-1,-1,-1,1,-1,NA,-1,3,NA,-1
"Moraxella_osloensis",NA,NA,NA,1,-1,-1,-1,NA,1,1,NA,1,-1,-1,-1,NA,1,NA,-1,-1,-1,1,1,NA,-1,NA,1,NA,-1,1,NA,-1,1,2,3,-1,NA,-1
"Streptococcus_intermedius",NA,-1,-1,-1,-1,1,3,NA,3,1,2,1,1,-1,1,-1,-1,NA,1,-1,-1,1,-1,-1,-1,NA,-3,NA,1,-1,-1,1,-1,-1,-1,-1,NA,1
"Treponema_socranskii",-1,-1,-1,1,1,-1,-1,-2,2,1,1,3,-1,-1,-1,-1,3,-1,1,1,-1,-1,-1,-1,-1,-1,-3,-1,2,-1,1,1,-2,-1,3,3,NA,1
"Pyramidobacter_piscolens",NA,-1,-1,-1,NA,1,1,-1,1,-1,-2,3,-1,NA,-1,NA,1,NA,-1,NA,NA,-3,-1,NA,-1,NA,-1,NA,1,1,NA,-1,1,1,-1,-1,NA,-1
"Dialister_pneumosintes",-1,-1,-1,3,-1,-1,-3,-3,-1,3,1,3,-1,1,-1,1,3,1,1,1,-1,1,-3,1,-3,-1,-3,-2,3,-1,-1,-1,1,1,-1,-1,NA,-3
"Selenomonas_flueggei",1,1,-3,-1,-1,-1,-3,-1,1,-1,1,-1,1,1,1,-1,-1,-1,1,NA,-1,1,-1,-3,-2,1,-1,1,1,1,-1,-1,1,1,-1,-3,NA,-1
"Peptostreptococcus_stomatis",-3,-3,1,-3,1,1,3,-3,3,1,2,1,-1,-1,1,1,2,3,-1,-1,1,-1,-3,1,-1,1,1,-1,-2,-1,1,2,-1,3,1,-3,NA,-1
"Lactobacillus_reuteri",NA,1,-1,-3,NA,-1,-1,-1,-2,1,-1,-3,1,-2,1,3,-1,NA,-3,NA,1,1,-1,-1,-3,NA,-1,NA,-1,1,-1,-1,1,1,-2,-1,NA,-2
"Butyrivibrio_fibrisolvens",NA,2,-2,-1,3,-1,3,NA,-1,1,-1,-1,1,-1,-1,-1,1,NA,-1,-1,-1,1,1,NA,-2,NA,1,NA,-1,1,1,-1,-1,-1,1,3,NA,1
"Mycoplasma_salivarium",NA,-1,3,-1,-1,-1,-1,NA,1,1,-1,NA,-1,1,-1,-2,-1,NA,-1,-1,-1,1,-3,3,-1,NA,-1,NA,3,-1,-2,-1,1,-1,1,-1,NA,-1
"Mobiluncus_curtisii",NA,1,-3,-1,1,-1,-1,NA,3,1,-1,NA,1,-1,1,1,-1,NA,-1,NA,-2,-1,-1,NA,-1,NA,1,NA,1,1,-1,1,-1,1,3,-3,NA,-1
"Simonsiella_muelleri",-1,1,2,1,3,1,1,1,3,-1,-1,-1,1,1,1,3,3,-3,1,1,1,-1,-1,-1,-2,-1,1,1,1,-1,3,-1,-1,-3,1,3,NA,1
"Actinomyces_oricola",NA,1,-1,-1,NA,1,2,NA,1,-1,-1,NA,-2,-3,NA,NA,-1,NA,-1,NA,NA,-1,-1,NA,-1,NA,-1,NA,1,-1,NA,-1,-1,1,1,1,NA,1
"Barnesiella_viscericola",NA,NA,NA,NA,NA,NA,NA,NA,-1,3,NA,-2,1,-1,-1,NA,2,NA,-1,NA,1,NA,NA,NA,-1,NA,NA,NA,1,-2,NA,1,-1,-1,1,1,NA,1
"Prevotella_aurantiaca",NA,-1,3,-1,1,1,1,NA,3,-1,-1,-1,-1,1,1,1,3,NA,1,-1,-1,-1,3,1,1,NA,-1,NA,1,1,-1,-1,1,-1,1,3,NA,-1
"Leptotrichia_amnionii",NA,-1,1,-1,-1,NA,NA,1,-1,1,2,NA,-1,NA,NA,1,NA,NA,1,NA,NA,NA,-1,NA,NA,NA,1,NA,-1,-1,NA,1,NA,1,-2,3,NA,1
"Leptotrichia_shahii",NA,1,-1,-3,-1,1,3,NA,1,-3,-1,3,-1,-1,-1,-1,1,NA,-3,1,-1,-1,-3,-3,1,NA,-1,NA,-1,-1,3,3,-1,1,1,3,NA,2
"Capnocytophaga_ochracea",-1,1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-3,-1,-2,1,2,3,3,NA,2
"Prevotella_ruminicola",NA,NA,-1,-1,-1,-1,2,NA,-1,-1,1,-1,1,-1,1,NA,1,NA,-3,3,-1,1,1,NA,-1,NA,-1,NA,-1,1,NA,1,-1,-1,1,-1,NA,1
"Gemella_sanguinis",-1,1,3,NA,-1,-1,1,1,-1,-1,NA,NA,-1,-1,-1,1,3,3,1,-1,-1,NA,1,NA,2,1,-1,-1,1,-1,2,1,-1,NA,-3,-3,NA,-1
"Conchiformibius_steedae",NA,NA,NA,NA,-1,-1,-1,NA,1,-1,2,NA,-1,-1,NA,-1,NA,NA,-1,NA,NA,1,-1,NA,NA,NA,1,NA,1,-1,NA,1,1,-1,1,-1,NA,NA
"Prevotella_intermedia",-3,-1,-1,1,-1,1,1,-3,1,1,-1,1,-2,-1,1,3,3,-3,3,1,1,-1,-3,1,-3,-3,-1,-3,-3,-1,1,-1,2,1,-1,3,NA,-1
"Porphyromonas_uenonis",NA,-1,1,1,1,-3,-2,NA,2,1,1,-1,-1,NA,1,-1,1,NA,-2,-1,-1,-1,-2,-1,-1,1,1,NA,-1,1,-1,-1,-2,3,-1,-1,NA,1
"Prevotella_fusca",-2,2,3,3,-1,-1,3,-1,1,1,1,3,1,-1,-1,1,3,2,1,3,-1,1,-1,-1,-3,-1,1,-1,1,1,-1,1,1,-3,3,3,NA,-1
"Selenomonas_sputigena",1,2,-3,-3,1,-1,-1,-1,1,-1,1,2,-1,1,1,-1,3,1,-1,-1,-1,-2,-3,1,-3,-1,-3,-1,1,-1,1,-1,1,-3,1,3,NA,1
"Veillonella_rodentium",NA,1,1,1,-1,1,1,-1,-2,1,1,NA,1,1,1,NA,-1,1,-1,NA,1,-1,1,NA,-1,1,1,NA,-1,NA,-1,-3,1,-2,1,-1,NA,1
"Klebsiella_pneumoniae",NA,-1,1,NA,NA,NA,-1,1,NA,3,NA,-1,1,1,1,NA,-1,NA,NA,1,NA,NA,1,NA,1,-1,NA,NA,-1,-1,1,-1,1,-1,3,-1,NA,-1
"Bulleidia_extructa",-1,1,-1,-1,1,-1,-1,-1,2,2,2,-3,-1,1,-3,-1,3,-1,-1,1,-1,1,-3,1,-3,1,-1,1,1,-1,1,1,-1,1,-1,3,NA,1
"Haemophilus_parahaemolyticus",-1,-1,1,-1,1,-1,-3,1,1,1,-1,-1,3,-3,1,1,3,-2,1,2,1,1,-3,1,1,-2,-1,1,-1,-1,3,-1,1,-1,-1,3,NA,1
"Alloprevotella_tannerae",-1,-1,1,2,1,-1,-3,-1,1,3,1,3,-1,-1,-3,1,3,-1,1,1,1,-1,-1,-1,-3,1,-1,1,2,1,1,2,1,-1,3,-3,NA,-1
"Alkaliphilus_crotonatoxidans",NA,1,NA,1,NA,-1,-3,NA,-1,1,NA,-1,1,1,-1,NA,NA,NA,-2,NA,1,NA,1,NA,1,NA,NA,NA,NA,1,-1,-1,-2,1,-1,3,NA,NA
"Actinomyces_georgiae",-1,1,-3,-1,-1,1,1,-1,3,1,3,3,-1,1,-1,1,3,1,-2,1,-1,-1,-1,1,-3,-1,-1,-1,1,-1,1,-1,-1,1,-1,3,NA,-1
"Bilophila_wadsworthia",NA,3,1,1,-1,-1,-1,NA,3,3,-1,-3,NA,NA,NA,-1,-1,NA,-1,NA,NA,NA,-3,NA,NA,NA,-1,NA,NA,NA,-1,NA,-1,-1,-3,-1,NA,-2
"Streptococcus_oligofermentans",NA,-1,1,-1,-1,-1,-1,NA,-1,1,-1,NA,1,-3,1,-1,-1,NA,1,-1,-1,1,-1,NA,-1,NA,-1,NA,-1,-1,1,3,-1,-1,-1,1,NA,1
"Actinomyces_lingnae",NA,1,-1,-1,3,-1,-1,NA,-1,1,1,1,-1,-1,-1,-2,-1,NA,1,-1,-2,1,3,1,1,NA,-1,NA,-3,-1,-1,-1,-2,3,-1,-3,NA,-1
"Streptococcus_equinus",NA,NA,NA,NA,NA,1,-1,NA,NA,-1,NA,-1,1,NA,NA,NA,-1,NA,NA,1,NA,-1,-3,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,1,-2,NA,-2
"Lactobacillus_salivarius",-1,2,-3,-1,NA,-1,-1,-1,-2,3,-1,-3,-1,-1,1,-1,-1,NA,-3,-1,-1,-1,-3,-1,-1,1,-1,-1,-1,1,-1,-2,-1,-1,-3,-3,NA,2
"Lactobacillus_crispatus",-1,NA,-2,NA,-1,-1,-1,-1,-1,1,-1,-1,1,NA,NA,NA,-1,NA,-1,1,NA,NA,1,NA,-1,-1,-3,-1,-1,NA,-1,-1,NA,-1,1,-3,NA,-1
"Prevotella_maculosa",-1,1,-1,-1,-1,-1,3,-3,1,1,1,-1,-1,-1,-2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,3,NA,1
"Haemophilus_influenzae",NA,1,1,3,1,-1,-1,-1,1,2,1,-3,-1,1,-3,1,3,-1,-1,-1,1,-1,-3,-1,1,1,-1,NA,2,2,1,1,3,1,1,-1,NA,1
"Moraxella_bovoculi",NA,NA,NA,NA,NA,NA,2,NA,NA,-2,NA,NA,-1,1,1,NA,2,NA,1,NA,NA,-1,-1,NA,-1,NA,NA,NA,1,-1,NA,1,1,1,2,3,NA,NA
"Atopobium_minutum",NA,-1,1,NA,NA,NA,-1,-3,2,1,NA,NA,1,1,-1,NA,NA,NA,NA,NA,-1,NA,NA,NA,1,NA,1,NA,NA,1,-1,1,NA,-1,NA,1,NA,-1
"Capnocytophaga_haemolytica",NA,-1,-2,-1,-1,1,3,-1,3,3,-1,-1,1,-1,1,-1,3,3,-1,1,1,1,3,NA,-1,-1,1,NA,1,-1,-1,1,-1,-1,-2,3,NA,1
"Clostridium_aminobutyricum",NA,1,2,1,1,NA,1,NA,3,-2,NA,1,1,1,-1,1,3,NA,2,NA,2,-1,-1,NA,-1,NA,1,NA,-1,1,3,3,1,1,1,3,NA,1
"Porphyromonas_gulae",NA,-1,-1,-1,-1,-1,-1,NA,-1,-1,2,-1,1,-1,-1,-1,3,NA,3,1,-2,-1,-3,NA,-3,NA,-3,NA,1,-1,-1,-1,1,1,1,3,NA,-1
"Saccharofermentans_acetigenes",NA,1,1,NA,NA,-1,-1,NA,-1,1,NA,-3,1,NA,-1,NA,-1,NA,-1,NA,NA,1,1,NA,-2,NA,NA,NA,1,1,NA,-1,-1,NA,1,3,NA,-1
"Veillonella_parvula",-1,-1,-1,1,-1,1,3,-3,-1,1,-1,1,3,3,-3,1,-1,3,1,-1,1,1,3,1,1,-2,1,-1,-1,1,1,-1,1,-1,2,-3,NA,-1
"Actinomyces_cardiffensis",-1,1,-1,1,-1,-1,-1,1,3,-1,1,-1,-1,NA,-3,-1,-3,-3,-1,1,1,-3,-1,NA,-3,2,-1,-1,-1,1,NA,1,-1,1,3,3,NA,1
"Rhodococcus_erythropolis",NA,NA,-1,NA,NA,-1,-1,1,1,1,NA,-1,-1,NA,NA,NA,NA,NA,-2,1,1,-1,NA,NA,NA,NA,1,NA,-2,NA,1,-1,NA,1,3,-1,NA,-1
"Capnocytophaga_sputigena",-1,-1,3,1,-1,1,-1,-1,1,2,-1,1,-3,1,-1,-1,-1,-1,1,1,1,-1,-3,1,-1,1,-1,-1,2,-1,3,-1,-1,-1,3,-3,NA,1
"Propionibacterium_acnes",NA,NA,2,-1,-1,-1,-1,1,2,2,1,NA,-1,NA,-1,NA,-1,-2,1,2,1,NA,3,1,-1,1,-1,NA,1,NA,3,NA,-1,1,1,1,NA,1
"Mobiluncus_mulieris",NA,3,-1,-1,2,1,3,NA,2,1,3,-1,1,NA,1,1,-1,NA,-1,1,-1,-1,2,NA,-1,NA,1,NA,1,1,-1,1,-1,1,3,-3,NA,-1
"Escherichia_coli",NA,1,1,1,-1,-1,-1,1,-1,1,-1,-2,1,-1,-2,1,-1,2,1,-1,NA,-1,-3,-1,-1,NA,NA,NA,1,1,1,-1,-1,1,3,-1,NA,1
"Lactobacillus_vaginalis",-1,1,-2,-1,-1,-1,-1,-1,-3,1,-1,2,-1,NA,-1,1,-1,1,-1,NA,1,NA,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-2,-1,-1,NA,1
"Mycoplasma_orale",NA,-1,2,NA,1,NA,-1,NA,1,1,NA,NA,1,1,1,1,-1,NA,-1,-1,1,-1,1,NA,-1,NA,-2,NA,1,-1,3,-1,NA,-1,2,3,NA,-1
"Treponema_medium",-1,-1,-1,1,-1,-1,-1,-1,2,1,1,2,1,-1,-3,1,3,-1,1,1,1,1,-3,-1,-2,2,-3,-2,3,-1,1,1,2,1,-1,3,NA,1
"Selenomonas_infelix",NA,-1,-2,-1,-1,-1,-2,1,2,1,1,1,-1,1,1,-1,3,2,-1,1,-1,-1,-3,-3,-1,-1,-1,NA,1,1,1,-1,-1,-3,1,3,NA,1
"Prevotella_corporis",NA,NA,-1,NA,1,-1,-1,NA,-1,2,NA,NA,-1,3,-1,NA,1,NA,2,NA,1,NA,-1,NA,-3,NA,NA,NA,3,-1,1,-1,NA,-1,1,3,NA,1
"Leptotrichia_goodfellowii",NA,1,-1,-1,1,2,3,1,1,-3,3,1,-1,-1,-1,-1,3,NA,1,-1,-1,-1,3,1,1,-3,1,-1,-1,2,1,1,-1,-1,-1,3,NA,2
"Selenomonas_bovis",NA,1,-3,2,1,-1,-1,NA,-1,1,3,NA,-1,-1,1,-1,3,NA,-3,NA,-1,NA,1,-2,-2,NA,1,NA,1,NA,1,-1,-1,-1,-1,3,NA,-1
"Chryseobacterium_kwangjuense",NA,NA,NA,3,NA,1,NA,NA,NA,1,2,NA,NA,NA,1,NA,NA,NA,-2,NA,NA,-1,-1,NA,NA,NA,NA,NA,1,1,1,NA,-1,1,-1,1,NA,NA
